                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2949,                0.91655,                 1.1591,                0.79959,                 0.8125,                0.82363,                0.40597,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.427,                0.97636,                 1.1831,                0.72707,                0.76562,                0.77129,                0.39279,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     38,                 1.2379,                0.90233,                  1.117,                0.77893,                 0.6875,                0.76374,                0.42264,                      0,                    inf,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3014,                0.96816,                 1.1264,                0.74041,                0.66853,                 0.7074,                0.35169,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     40,                 1.2358,                0.82976,                 1.1122,                0.84702,                0.67188,                0.77745,                0.41452,                      0,                    inf,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3065,                0.90684,                 1.1118,                0.70989,                0.72652,                0.71757,                0.37659,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     42,                 1.3439,                0.91842,                 1.1875,                0.71804,                0.71875,                0.72169,                0.39627,                      0,                    inf,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2556,                0.85151,                 1.1458,                0.70846,                0.76562,                0.70854,                0.36379,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     44,                 1.2188,                0.81152,                 1.1231,                0.73648,                   0.75,                0.69582,                0.37829,                      0,                    inf,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1773,                0.78887,                 1.1032,                0.83703,                0.73438,                0.73038,                0.35721,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     46,                 1.1947,                0.82642,                 1.0866,                0.68803,                0.79261,                0.73325,                0.35948,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2367,                0.83942,                 1.1146,                0.75258,                0.64062,                0.71649,                0.33206,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     48,                 1.2626,                0.80079,                 1.1045,                0.70681,                0.75339,                0.78993,                0.41176,                      0,                    inf,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1541,                0.75134,                 1.0678,                0.73783,                0.67188,                0.72463,                0.38195,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     50,                 1.2193,                0.79284,                  1.092,                0.78627,                0.65625,                0.71103,                0.35008,                      0,                    inf,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1989,                0.77513,                 1.0804,                0.79513,                0.66713,                0.67165,                0.33297,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     52,                 1.1245,                0.76755,                 1.0836,                0.72296,                0.69323,                0.67852,                0.33756,                      0,                    inf,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1722,                0.79171,                 1.1131,                0.69438,                0.71875,                0.70881,                0.34029,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     54,                  1.205,                0.80365,                 1.0948,                0.77514,                0.76562,                0.75661,                 0.3714,                      0,                    inf,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1714,                 0.7941,                 1.0514,                0.83524,                0.78125,                0.82441,                0.40931,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     56,                 1.1155,                0.72252,                 1.0669,                0.81367,                0.75055,                0.78832,                0.40304,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                  1.106,                 0.7242,                  1.056,                0.74201,                0.80895,                 0.7424,                0.36705,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     58,                 1.0881,                0.73066,                 1.0468,                0.84663,                0.76562,                0.76928,                0.38271,                      0,                    inf,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1001,                0.76279,                   1.04,                0.80894,                   0.75,                0.77741,                0.40688,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     60,                 1.0825,                0.71522,                 1.0568,                0.78793,                0.73438,                0.77579,                0.37745,                      0,                    inf,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1033,                0.70301,                 1.0533,                0.74515,                  0.875,                0.79293,                0.38286,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     62,                 1.0898,                0.73401,                 1.0477,                 0.7196,                0.84375,                0.77821,                0.38492,                      0,                    inf,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0973,                0.72799,                 1.0258,                0.81989,                 0.7824,                0.77801,                0.38445,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     64,                 1.0943,                0.71642,                 1.0305,                0.81972,                 0.8125,                0.78989,                0.36305,                      0,                    inf,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.063,                0.70626,                 1.0289,                0.76102,                0.74639,                 0.7934,                0.35905,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     66,                  1.114,                0.73064,                 1.0745,                 0.8111,                0.76562,                0.76617,                0.38175,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0468,                0.69345,                 1.0578,                 0.7596,                0.73438,                0.77938,                0.37251,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     68,                 1.0819,                0.68878,                 1.0305,                0.79314,                0.79688,                0.79399,                0.39829,                      0,                    inf,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0169,                 0.6584,                 1.0028,                0.86763,                0.81935,                0.81886,                0.39887,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     70,                 1.0754,                0.71617,                 1.0228,                0.90427,                0.76562,                0.84645,                0.39148,                      0,                    inf,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0633,                 0.7097,                 1.0068,                0.77822,                0.70312,                0.76367,                0.36941,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     72,                0.98873,                0.68812,                 1.0143,                0.65769,                0.76562,                0.70154,                0.34938,                      0,                    inf,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0566,                0.66251,                 1.0059,                0.79043,                0.78125,                0.82169,                0.39805,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     74,                0.96661,                 0.6349,                 1.0059,                0.83885,                0.76562,                0.81333,                0.38986,                      0,                    inf,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                0.99315,                0.66475,                 1.0002,                0.79305,                   0.75,                0.76628,                0.39819,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     76,                0.97915,                0.64141,                 1.0183,                0.75371,                0.78125,                 0.8046,                0.43843,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                0.98384,                0.62999,                0.99668,                0.82941,                0.83574,                0.85611,                0.46669,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     78,                0.97465,                0.63975,                 1.0135,                0.82051,                0.85717,                0.81509,                0.43534,                      0,                    inf,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                0.96876,                 0.7285,                 1.0126,                0.87962,                0.82812,                0.83717,                0.44652,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     80,                 1.0467,                0.64203,                 1.0108,                 0.7816,                0.85938,                0.83971,                0.45023,                      0,                    inf,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                0.98979,                0.65277,                0.99342,                0.77714,                0.76562,                 0.8186,                0.43427,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     82,                0.91474,                0.60446,                0.99583,                0.78875,                0.79688,                0.78116,                0.42935,                      0,                    inf,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                0.95079,                0.60283,                0.98296,                0.78734,                   0.75,                0.72445,                0.35414,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     84,                0.93994,                0.61561,                0.99706,                0.79325,                0.77938,                0.74505,                0.37493,                      0,                    inf,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                0.95937,                 0.6059,                0.99892,                0.83417,                0.82812,                0.81917,                0.43839,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     86,                0.94771,                0.60462,                0.96259,                0.84375,                 0.8125,                0.81949,                0.42082,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                0.97517,                0.62281,                0.99219,                0.85304,                0.81633,                0.83139,                0.40472,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     88,                0.90103,                0.58955,                0.97011,                0.89179,                0.76562,                0.82761,                0.40903,                      0,                    inf,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                0.90835,                0.59137,                0.98223,                0.86009,                0.78125,                0.83244,                0.43979,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     90,                0.90949,                0.60893,                 0.9711,                0.87674,                0.79688,                0.85925,                0.43607,                      0,                    inf,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                0.91722,                0.56455,                0.97883,                0.78726,                0.82812,                0.79372,                 0.3893,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     92,                0.90603,                0.58297,                0.95891,                0.78897,                0.79688,                0.78938,                0.39228,                      0,                    inf,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                 0.8835,                0.57371,                0.96861,                0.78596,                0.73438,                0.79906,                0.42318,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     94,                0.89112,                0.58289,                0.96825,                0.81946,                0.70312,                 0.8028,                0.43932,                      0,                    inf,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                0.90935,                0.60371,                0.96863,                0.74537,                0.82335,                0.80669,                0.42582,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     96,                0.90397,                0.58108,                0.95892,                0.84436,                0.76293,                0.78447,                0.39862,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                0.90649,                0.58448,                0.98027,                0.78723,                0.76562,                0.72915,                0.38413,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     98,                0.85557,                0.57564,                0.95776,                 0.7641,                0.78125,                 0.7672,                0.42643,                      0,                    inf,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                0.85648,                0.57285,                  0.945,                0.86226,                0.70312,                0.75925,                0.43138,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                    100,                0.84541,                 0.5569,                0.93958,                0.87207,                0.74564,                0.78757,                0.43012,                      0,                    inf,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                0.88951,                0.57536,                0.95344,                0.86806,                0.71962,                0.79022,                 0.4124,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                    102,                0.84733,                 0.5588,                0.96414,                0.85668,                   0.75,                0.80659,                0.42456,                      0,                    inf,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                0.89842,                 0.6125,                0.97557,                0.82187,                0.79304,                0.81853,                 0.4395,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                    104,                0.83147,                0.56058,                0.93925,                0.79494,                 0.8125,                0.80363,                0.44786,                      0,                    inf,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                0.87366,                0.56024,                 0.9657,                0.86738,                0.81758,                 0.8253,                0.45971,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                    106,                0.84702,                0.53676,                0.96344,                0.89469,                0.79648,                0.83397,                0.46663,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                0.83962,                0.54152,                0.94998,                0.86359,                0.76562,                0.83464,                0.48602,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                    108,                0.79469,                0.51129,                0.93642,                0.84272,                0.76562,                0.82871,                0.47047,                      0,                    inf,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                0.78203,                0.52161,                0.93077,                0.75996,                 0.8125,                0.81511,                0.45198,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                    110,                0.80593,                0.51719,                0.94787,                0.84121,                0.70312,                0.77931,                0.45925,                      0,                    inf,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                0.82747,                 0.5273,                0.94663,                 0.7837,                0.79262,                0.81002,                0.44697,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                    112,                0.77772,                0.51651,                 0.9195,                 0.8295,                0.76562,                0.80381,                0.42657,                      0,                    inf,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                0.79825,                0.51618,                 0.9325,                0.81295,                0.74703,                0.78813,                0.42957,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                    114,                0.84732,                0.52653,                0.92686,                0.80645,                0.79688,                0.80168,                0.45341,                      0,                    inf,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                0.78012,                0.52374,                0.92825,                0.86748,                0.70312,                0.76678,                0.43111,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                    116,                0.79393,                 0.5193,                0.93197,                 0.8325,                0.78125,                0.79196,                0.43274,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                0.78675,                0.50729,                0.93809,                0.82735,                 0.8125,                0.84922,                0.45353,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                    118,                0.76661,                0.50173,                 0.9304,                0.81697,                0.84375,                0.83868,                 0.4556,                      0,                    inf,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                0.81632,                0.50791,                0.92705,                0.82779,                0.82618,                0.82698,                0.45901,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                    120,                0.78964,                0.50865,                0.91678,                0.84682,                0.82812,                0.83378,                0.43274,                      0,                    inf,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                0.71525,                0.48514,                0.89896,                0.83306,                0.85771,                0.88542,                0.43343,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                    122,                0.76106,                0.51558,                 0.9382,                0.87781,                   0.75,                0.85798,                0.44364,                      0,                    inf,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                0.74003,                0.50062,                0.91973,                0.84913,                0.79155,                0.84733,                0.44497,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                    124,                0.79657,                 0.5052,                0.94989,                0.85513,                0.78125,                0.84393,                0.44914,                      0,                    inf,                      0,              0.0039115,              0.0039115,              0.0039115
                    125,                0.77133,                0.49391,                0.93251,                0.75755,                0.78115,                0.76584,                 0.4545,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                    126,                0.76648,                0.47829,                0.91679,                 0.7686,                0.78125,                0.77239,                0.42573,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                    127,                0.73052,                0.48288,                0.90797,                0.82455,                0.80779,                0.79978,                0.45537,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                    128,                0.74316,                0.48161,                 0.8983,                 0.8634,                0.79012,                0.83093,                0.46826,                      0,                    inf,                      0,              0.0037135,              0.0037135,              0.0037135
                    129,                0.73585,                0.50483,                0.91637,                0.87116,                0.78125,                0.81446,                 0.4776,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                    130,                0.73987,                0.47525,                0.91177,                0.81452,                0.82812,                0.83601,                0.46869,                      0,                    inf,                      0,              0.0036145,              0.0036145,              0.0036145
                    131,                0.73076,                0.48117,                0.88633,                0.88398,                0.78125,                0.85785,                0.47581,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                    132,                0.74311,                0.46018,                0.91694,                0.85017,                0.82812,                0.87272,                0.48926,                      0,                    inf,                      0,              0.0035155,              0.0035155,              0.0035155
                    133,                0.72851,                0.47654,                 0.9141,                0.84061,                0.82412,                0.87185,                0.48336,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                    134,                0.71186,                 0.4626,                0.89424,                0.84703,                0.79688,                0.86464,                0.49383,                      0,                    inf,                      0,              0.0034165,              0.0034165,              0.0034165
                    135,                0.73937,                0.47299,                0.91874,                0.82015,                0.79688,                0.84159,                0.47434,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                    136,                0.68317,                0.49514,                0.90725,                0.88386,                0.78125,                0.83953,                0.46291,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                    137,                0.71676,                0.47573,                0.90575,                 0.8563,                0.78125,                0.81139,                0.44907,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                    138,                0.71083,                 0.4649,                0.90659,                0.87668,                0.77761,                0.81056,                0.43877,                      0,                    inf,                      0,              0.0032185,              0.0032185,              0.0032185
                    139,                0.67485,                0.46528,                0.89531,                0.87486,                0.76468,                0.79875,                0.42394,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                    140,                0.71035,                0.46424,                0.89297,                0.87805,                0.79688,                0.83371,                0.45135,                      0,                    inf,                      0,              0.0031195,              0.0031195,              0.0031195
                    141,                0.75145,                0.47646,                0.92389,                0.89344,                0.82812,                0.86482,                0.48102,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                    142,                0.72298,                0.48502,                0.89884,                0.89286,                0.82812,                0.87123,                0.46791,                      0,                    inf,                      0,              0.0030205,              0.0030205,              0.0030205
                    143,                0.73319,                 0.4629,                0.90078,                 0.8842,                 0.8125,                0.85279,                0.47479,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                    144,                0.69851,                0.45419,                0.89058,                0.88406,                0.82812,                0.88173,                 0.4968,                      0,                    inf,                      0,              0.0029215,              0.0029215,              0.0029215
                    145,                0.65414,                0.45171,                0.89014,                0.89533,                0.80199,                0.88388,                0.49102,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                    146,                0.69051,                0.44647,                0.88566,                0.91208,                 0.8125,                0.88082,                0.47548,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                    147,                 0.6647,                0.45726,                0.90543,                0.87963,                0.79688,                 0.8644,                0.47648,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                    148,                0.65029,                0.45127,                0.88588,                0.88033,                0.80466,                0.86661,                0.49042,                      0,                    inf,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                0.67299,                0.43876,                0.89186,                0.82675,                0.82024,                0.84998,                0.49588,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                    150,                0.65574,                0.45998,                0.89232,                0.79924,                0.82812,                0.84781,                0.49033,                      0,                    inf,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                0.69117,                0.42967,                0.89737,                0.85464,                0.79688,                0.87053,                0.50783,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                    152,                0.63411,                0.42652,                0.88748,                0.87048,                0.84014,                0.86795,                0.51195,                      0,                    inf,                      0,              0.0025255,              0.0025255,              0.0025255
                    153,                0.62143,                  0.428,                0.87669,                0.85337,                0.84375,                0.87334,                0.49113,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                    154,                0.65412,                0.45013,                0.89859,                0.87117,                0.78125,                0.86035,                0.46963,                      0,                    inf,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                0.63816,                0.42392,                 0.8708,                0.86338,                 0.8125,                0.85531,                0.47489,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                    156,                0.72823,                0.48558,                0.90497,                0.86268,                 0.8125,                0.84821,                 0.4809,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                    157,                0.63747,                0.42483,                0.87707,                0.89827,                 0.8278,                0.87863,                0.48995,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                    158,                0.70524,                0.46497,                0.92912,                0.92504,                0.82812,                 0.8884,                0.49284,                      0,                    inf,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                0.63927,                0.43787,                0.90954,                  0.915,                0.82812,                0.89508,                0.47696,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                    160,                0.62054,                0.43746,                0.89365,                0.87464,                0.87214,                0.89455,                0.48193,                      0,                    inf,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                0.59029,                 0.4097,                0.88671,                0.86124,                0.79688,                0.83333,                0.48768,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                    162,                0.64574,                0.41779,                0.87453,                0.87979,                0.80052,                0.85476,                0.48765,                      0,                    inf,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                0.64488,                0.42067,                0.87734,                0.84819,                 0.8125,                 0.8453,                0.45616,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                    164,                0.61005,                0.40863,                0.87272,                0.82877,                 0.8125,                0.81901,                0.45168,                      0,                    inf,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                0.59324,                0.41093,                 0.8854,                0.84011,                0.82812,                0.82754,                0.46314,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                    166,                0.61756,                0.43463,                0.88892,                0.86091,                0.79688,                0.82975,                0.46651,                      0,                    inf,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                0.59916,                0.40972,                0.88206,                0.86985,                0.78125,                0.83393,                0.47241,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                    168,                 0.5785,                0.39654,                0.88395,                0.87649,                 0.8125,                0.84104,                0.46795,                      0,                    inf,                      0,              0.0017335,              0.0017335,              0.0017335
                    169,                0.59845,                0.41624,                 0.8807,                0.89541,                0.80269,                0.85464,                  0.468,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                    170,                0.61969,                0.41724,                0.87784,                0.86885,                0.82808,                0.85361,                0.47404,                      0,                    inf,                      0,              0.0016345,              0.0016345,              0.0016345
